EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.006,-0.003,-0.003,0.000,0.000,0.004,0.000,-0.003,0.000
0.035,-0.015,-0.015,0.000,0.001,0.020,0.000,-0.019,0.000
0.122,-0.052,-0.052,0.000,0.002,0.068,-0.001,-0.065,0.000
0.300,-0.128,-0.128,0.001,0.004,0.159,-0.001,-0.156,0.000
0.556,-0.236,-0.235,0.015,0.006,0.264,0.007,-0.277,0.000
0.821,-0.343,-0.342,0.058,0.004,0.300,0.038,-0.372,0.000
0.999,-0.406,-0.415,0.156,-0.014,0.179,0.103,-0.378,0.000
1.038,-0.402,-0.463,0.329,-0.075,-0.078,0.194,-0.280,0.000
0.947,-0.342,-0.566,0.588,-0.230,-0.303,0.271,-0.139,0.000
0.771,-0.256,-0.826,0.937,-0.531,-0.272,0.287,-0.049,0.000
0.539,-0.178,-1.299,1.349,-0.976,0.133,0.216,-0.053,0.000
0.233,-0.139,-1.961,1.765,-1.495,0.845,0.073,-0.114,0.000
-0.189,-0.148,-2.735,2.122,-1.978,1.673,-0.098,-0.139,0.000
-0.735,-0.163,-3.508,2.395,-2.329,2.374,-0.236,-0.020,0.000
-1.356,-0.079,-4.149,2.623,-2.478,2.686,-0.261,0.339,0.000
-1.945,0.218,-4.536,2.887,-2.393,2.441,-0.109,0.976,0.000
-2.344,0.755,-4.605,3.285,-2.105,1.760,0.209,1.771,0.000
-2.330,1.428,-4.350,3.926,-1.710,1.134,0.596,2.400,0.000
-1.707,2.044,-3.804,4.876,-1.355,1.162,0.931,2.503,0.000
-0.471,2.360,-3.027,6.051,-1.249,2.140,1.196,1.950,0.000
1.125,2.104,-2.100,7.170,-1.672,3.889,1.523,0.956,0.000
2.701,1.111,-1.120,7.869,-2.865,5.940,2.103,-0.067,0.000
3.909,-0.381,-0.226,7.887,-4.786,7.772,3.013,-0.726,0.000
4.500,-1.603,0.384,7.125,-7.010,8.935,4.142,-0.744,0.000
4.357,-1.648,0.500,5.634,-8.914,9.144,5.288,-0.050,0.000
3.571,-0.116,0.005,3.649,-9.927,8.420,6.329,1.031,0.000
2.456,2.612,-1.094,1.592,-9.622,7.107,7.304,1.717,0.000
1.414,5.674,-2.710,-0.084,-7.840,5.649,8.343,1.150,0.000
0.773,8.124,-4.691,-1.110,-4.987,4.300,9.520,-0.953,0.000
0.741,9.117,-6.834,-1.458,-2.148,3.012,10.768,-4.045,0.000
1.382,8.090,-8.926,-1.263,-0.589,1.594,11.910,-7.123,0.000
2.533,5.089,-10.756,-0.729,-1.013,0.002,12.690,-9.258,0.000
3.787,0.834,-12.099,-0.067,-3.265,-1.502,12.793,-9.830,0.000
4.669,-3.660,-12.752,0.549,-6.612,-2.514,11.964,-8.628,0.000
4.894,-7.491,-12.620,1.028,-10.041,-2.791,10.241,-6.062,0.000
4.457,-10.014,-11.734,1.360,-12.425,-2.393,8.042,-3.189,0.000
3.539,-10.932,-10.233,1.606,-12.882,-1.576,5.942,-1.209,0.000
2.398,-10.515,-8.404,1.917,-11.354,-0.619,4.364,-0.735,0.000
1.302,-9.636,-6.702,2.546,-8.772,0.267,3.466,-1.525,0.000
0.458,-9.337,-5.604,3.742,-6.478,0.994,3.196,-2.871,0.000
-0.075,-10.206,-5.376,5.538,-5.405,1.646,3.369,-4.160,0.000
-0.392,-12.139,-5.991,7.668,-5.742,2.476,3.732,-5.158,0.000
-0.611,-14.623,-7.214,9.717,-7.124,3.752,4.036,-5.937,0.000
-0.673,-17.156,-8.634,11.329,-8.902,5.503,4.074,-6.661,0.000
-0.246,-19.456,-9.695,12.289,-10.320,7.405,3.678,-7.431,0.000
1.067,-21.440,-9.890,12.544,-10.745,8.955,2.760,-8.210,0.000
3.308,-23.071,-9.079,12.263,-9.955,9.699,1.446,-8.749,0.000
5.982,-24.240,-7.583,11.830,-8.191,9.332,0.128,-8.567,0.000
8.334,-24.812,-5.888,11.623,-5.933,7.749,-0.725,-7.190,0.000
9.792,-24.810,-4.172,11.668,-3.659,5.207,-0.880,-4.562,0.000
10.153,-24.507,-2.104,11.499,-1.745,2.373,-0.474,-1.206,0.000
9.543,-24.270,0.833,10.475,-0.406,0.020,0.112,2.078,0.000
8.375,-24.297,4.661,8.352,0.397,-1.383,0.394,4.627,0.000
7.302,-24.485,8.579,5.535,0.959,-1.824,-0.135,6.087,0.000
6.936,-24.540,11.430,2.760,1.640,-1.615,-1.837,6.406,0.000
7.465,-24.146,12.508,0.595,2.596,-1.231,-4.612,5.852,0.000
8.513,-23.059,11.919,-0.797,3.659,-1.223,-7.795,4.966,0.000
9.426,-21.196,10.341,-1.548,4.505,-2.044,-10.533,4.289,0.000
9.681,-18.825,8.683,-1.882,4.921,-3.802,-12.363,3.975,0.000
9.058,-16.626,7.887,-1.952,4.932,-6.187,-13.434,3.653,0.000
7.610,-15.363,8.641,-1.807,4.700,-8.657,-14.240,2.756,0.000
5.624,-15.362,10.956,-1.397,4.321,-10.624,-15.183,1.085,0.000
3.573,-16.303,14.055,-0.605,3.723,-11.530,-16.327,-0.929,0.000
1.899,-17.492,16.845,0.681,2.771,-11.029,-17.450,-2.541,0.000
0.712,-18.229,18.532,2.476,1.531,-9.371,-18.143,-3.232,0.000
-0.302,-17.982,18.862,4.663,0.406,-7.526,-17.891,-2.962,0.000
-1.625,-16.483,17.977,7.076,-0.068,-6.660,-16.303,-2.059,0.000
-3.482,-13.906,16.218,9.584,0.398,-7.274,-13.535,-1.031,0.000
-5.640,-10.891,13.978,12.126,1.686,-8.853,-10.438,-0.449,0.000
-7.603,-8.236,11.584,14.655,3.374,-10.318,-8.104,-0.764,0.000
-8.930,-6.483,9.219,17.019,4.869,-10.745,-7.168,-2.053,0.000
-9.379,-5.779,6.945,18.878,5.474,-9.698,-7.532,-3.953,0.000
-8.916,-5.929,4.791,19.819,4.654,-7.270,-8.620,-5.885,0.000
-7.740,-6.400,2.913,19.564,2.511,-4.160,-9.767,-7.312,0.000
-6.254,-6.348,1.677,18.039,-0.053,-1.645,-10.413,-7.835,0.000
-4.902,-4.982,1.454,15.353,-1.827,-0.957,-10.209,-7.237,0.000
-3.990,-2.174,2.213,11.849,-2.040,-2.297,-9.112,-5.589,0.000
-3.636,1.317,3.343,8.120,-0.660,-4.457,-7.366,-3.265,0.000
-3.823,4.348,3.998,4.823,1.825,-5.646,-5.347,-0.780,0.000
-4.441,6.159,3.637,2.464,4.696,-4.796,-3.442,1.360,0.000
-5.322,6.701,2.259,1.344,7.175,-2.134,-2.018,2.697,0.000
-6.262,6.419,0.218,1.531,8.659,1.268,-1.345,2.923,0.000
-6.989,5.890,-2.056,2.698,9.032,4.209,-1.451,2.093,0.000
-7.136,5.616,-4.218,4.082,8.728,5.739,-2.090,0.692,0.000
-6.367,5.902,-6.042,4.792,8.425,5.361,-2.897,-0.616,0.000
-4.661,6.755,-7.389,4.259,8.642,3.279,-3.612,-1.319,0.000
-2.418,7.898,-8.130,2.393,9.567,0.397,-4.167,-1.184,0.000
-0.249,8.954,-8.167,-0.548,11.090,-2.192,-4.670,-0.252,0.000
1.318,9.650,-7.553,-4.079,12.810,-3.870,-5.364,1.126,0.000
1.945,9.888,-6.548,-7.572,14.067,-4.734,-6.595,2.298,0.000
1.525,9.678,-5.525,-10.462,14.224,-5.245,-8.622,2.591,0.000
0.260,9.036,-4.848,-12.524,13.125,-5.654,-11.259,1.753,0.000
-1.336,7.922,-4.832,-13.929,11.255,-5.708,-13.722,0.106,0.000
-2.656,6.309,-5.638,-15.012,9.376,-4.930,-15.050,-1.732,0.000
-3.278,4.385,-7.063,-15.914,7.980,-3.234,-14.798,-3.247,0.000
-3.062,2.653,-8.466,-16.407,7.044,-1.237,-13.316,-4.205,0.000
-2.106,1.726,-9.075,-16.071,6.211,0.107,-11.406,-4.590,0.000
-0.766,1.974,-8.470,-14.656,5.127,0.139,-9.795,-4.453,0.000
0.361,3.381,-6.769,-12.237,3.622,-1.207,-8.878,-3.807,0.000
0.663,5.605,-4.417,-9.130,1.717,-3.547,-8.690,-2.652,0.000
-0.125,7.976,-1.897,-5.777,-0.413,-6.252,-8.899,-1.150,0.000
-1.798,9.499,0.404,-2.686,-2.489,-8.573,-8.863,0.268,0.000
-3.888,9.244,2.203,-0.274,-4.251,-9.887,-7.956,1.062,0.000
-5.907,7.000,3.210,1.348,-5.612,-9.994,-6.074,0.839,0.000
-7.467,3.517,3.024,2.426,-6.702,-9.186,-3.822,-0.543,0.000
-8.306,0.014,1.300,3.346,-7.749,-7.977,-2.097,-2.953,0.000
-8.287,-2.495,-1.813,4.329,-8.903,-6.774,-1.433,-5.842,0.000
-7.356,-3.488,-5.483,5.285,-10.166,-5.725,-1.722,-8.199,0.000
-5.531,-2.935,-8.565,5.958,-11.413,-4.775,-2.425,-8.986,0.000
-3.013,-1.328,-10.161,6.181,-12.443,-3.764,-2.906,-7.861,0.000
-0.238,0.375,-9.836,5.993,-12.999,-2.506,-2.605,-5.448,0.000
2.265,1.192,-7.610,5.537,-12.873,-0.901,-1.179,-2.825,0.000
4.082,0.741,-4.056,4.834,-12.114,0.869,1.308,-0.769,0.000
4.975,-0.543,-0.283,3.663,-11.092,2.266,4.345,0.587,0.000
4.885,-1.842,2.492,1.744,-10.281,2.703,7.225,1.541,0.000
3.993,-2.621,3.520,-0.867,-9.913,2.080,9.316,2.388,0.000
2.715,-2.927,2.701,-3.585,-9.831,1.005,10.141,3.157,0.000
1.506,-3.165,0.417,-5.618,-9.684,0.397,9.437,3.655,0.000
0.596,-3.635,-2.574,-6.524,-9.273,0.817,7.323,3.641,0.000
-0.106,-4.289,-5.214,-6.450,-8.713,2.178,4.330,2.943,0.000
-0.834,-4.817,-6.504,-5.912,-8.302,3.935,1.143,1.539,0.000
-1.673,-4.866,-6.022,-5.460,-8.248,5.390,-1.688,-0.308,0.000
-2.406,-4.158,-4.093,-5.488,-8.526,5.859,-3.855,-2.004,0.000
-2.675,-2.565,-1.491,-6.180,-8.910,4.889,-5.251,-2.915,0.000
-2.277,-0.195,0.882,-7.457,-9.017,2.612,-5.902,-2.817,0.000
-1.316,2.594,2.133,-9.007,-8.348,-0.162,-5.905,-2.057,0.000
-0.097,5.382,1.623,-10.440,-6.478,-2.384,-5.393,-1.279,0.000
1.026,7.915,-0.622,-11.464,-3.399,-3.386,-4.613,-0.992,0.000
1.724,10.175,-3.789,-11.931,0.356,-3.124,-3.968,-1.384,0.000
1.773,12.249,-6.735,-11.834,4.003,-2.010,-3.873,-2.371,0.000
1.146,14.081,-8.584,-11.351,6.908,-0.701,-4.496,-3.700,0.000
